gdn_decode_qk4_v8_d128_k_last:
  Workload 901e5104...: PASSED | 0.005 ms | 803.30x speedup | abs_err=2.98e-08, rel_err=4.51e-03
  Workload a5714b69...: PASSED | 0.004 ms | 1045.92x speedup | abs_err=2.38e-07, rel_err=1.02e-02
  Workload 3daa0974...: PASSED | 0.004 ms | 676.15x speedup | abs_err=2.24e-08, rel_err=5.23e-03
  Workload 22d5cef5...: PASSED | 0.004 ms | 734.60x speedup | abs_err=1.49e-07, rel_err=6.37e-03
  Workload aed4bdd4...: PASSED | 0.005 ms | 835.64x speedup | abs_err=2.24e-08, rel_err=5.17e-03
  Workload 49a125e5...: PASSED | 0.004 ms | 1017.53x speedup | abs_err=2.53e-07, rel_err=2.50e-03
  Workload 798635cf...: PASSED | 0.005 ms | 878.27x speedup | abs_err=1.19e-07, rel_err=1.98e-03
  Workload 5716e24a...: PASSED | 0.004 ms | 1362.97x speedup | abs_err=1.79e-07, rel_err=7.35e-04
  Workload 4c7df22f...: PASSED | 0.005 ms | 872.39x speedup | abs_err=2.38e-07, rel_err=3.30e-02
  Workload d0e91dea...: PASSED | 0.004 ms | 1216.13x speedup | abs_err=5.96e-08, rel_err=4.01e-03
  Workload ec9d2340...: PASSED | 0.005 ms | 3149.33x speedup | abs_err=1.19e-07, rel_err=5.14e-03
  Workload 9f238670...: PASSED | 0.005 ms | 3240.13x speedup | abs_err=3.73e-08, rel_err=1.52e-02
  Workload 6d929bff...: PASSED | 0.006 ms | 2587.71x speedup | abs_err=1.79e-07, rel_err=1.65e-02
  Workload 494844dc...: PASSED | 0.005 ms | 3200.85x speedup | abs_err=7.45e-08, rel_err=3.54e-03
  Workload 26f760ab...: PASSED | 0.005 ms | 3170.50x speedup | abs_err=1.64e-07, rel_err=1.99e-02
  Workload deecf42e...: PASSED | 0.005 ms | 3088.27x speedup | abs_err=2.09e-07, rel_err=1.29e-02
  Workload 9a92acbc...: PASSED | 0.006 ms | 2659.73x speedup | abs_err=1.19e-07, rel_err=7.12e-03
  Workload fa90b213...: PASSED | 0.005 ms | 3367.25x speedup | abs_err=1.19e-06, rel_err=2.77e-02
  Workload 2640f1e3...: PASSED | 0.005 ms | 5196.65x speedup | abs_err=1.79e-07, rel_err=2.41e-02
  Workload 7464a1d6...: PASSED | 0.005 ms | 5419.23x speedup | abs_err=1.79e-07, rel_err=1.57e-02
  Workload 25d1f606...: PASSED | 0.007 ms | 4605.05x speedup | abs_err=5.96e-08, rel_err=7.68e-03
  Workload fe2e6584...: PASSED | 0.005 ms | 5527.93x speedup | abs_err=2.09e-07, rel_err=1.49e-02
  Workload ca62112d...: PASSED | 0.005 ms | 5553.15x speedup | abs_err=8.94e-08, rel_err=1.37e-02
  Workload 61dfd334...: PASSED | 0.005 ms | 5360.72x speedup | abs_err=3.81e-06, rel_err=1.09e-02
  Workload abec5d32...: PASSED | 0.007 ms | 4593.24x speedup | abs_err=2.09e-07, rel_err=2.68e-02
  Workload 76eec66d...: PASSED | 0.006 ms | 9552.99x speedup | abs_err=4.77e-07, rel_err=5.16e-02
  Workload f0507025...: PASSED | 0.007 ms | 8705.56x speedup | abs_err=9.83e-07, rel_err=6.12e-02
  Workload d1508f6d...: PASSED | 0.007 ms | 9378.60x speedup | abs_err=2.38e-07, rel_err=1.20e-02
  Workload 63d4cb66...: PASSED | 0.008 ms | 7862.17x speedup | abs_err=2.38e-07, rel_err=1.48e-02
  Workload ef6bb01d...: PASSED | 0.006 ms | 10136.92x speedup | abs_err=1.04e-07, rel_err=1.34e-02
  Workload d0acf04a...: PASSED | 0.006 ms | 8771.14x speedup | abs_err=2.09e-07, rel_err=1.71e-02
  Workload ac83f1e4...: PASSED | 0.006 ms | 9180.35x speedup | abs_err=8.94e-08, rel_err=9.98e-03
  Workload a8c8beff...: PASSED | 0.012 ms | 11906.20x speedup | abs_err=4.77e-07, rel_err=3.12e-02
  Workload 40940a4c...: PASSED | 0.009 ms | 13774.75x speedup | abs_err=3.81e-06, rel_err=5.46e-02
  Workload 0915952b...: PASSED | 0.009 ms | 13021.65x speedup | abs_err=3.81e-06, rel_err=2.75e-02
  Workload d38dde79...: PASSED | 0.009 ms | 13645.87x speedup | abs_err=1.43e-06, rel_err=1.24e-01
  Workload 388f79b1...: PASSED | 0.012 ms | 11548.92x speedup | abs_err=2.38e-07, rel_err=1.08e-02
  Workload 80288532...: PASSED | 0.009 ms | 13870.06x speedup | abs_err=3.81e-06, rel_err=3.19e-02
  Workload 773a4157...: PASSED | 0.009 ms | 13007.55x speedup | abs_err=4.77e-07, rel_err=1.70e-02
  Workload 53385c7f...: PASSED | 0.013 ms | 13883.55x speedup | abs_err=2.98e-07, rel_err=3.65e-02
  Workload 45e7697a...: PASSED | 0.017 ms | 18189.97x speedup | abs_err=4.77e-07, rel_err=2.53e-02
  Workload 34403e5b...: PASSED | 0.013 ms | 14622.51x speedup | abs_err=4.77e-07, rel_err=1.50e-02
  Workload b91cc4aa...: PASSED | 0.013 ms | 13483.14x speedup | abs_err=9.54e-07, rel_err=1.23e-01
  Workload 4c38f0e4...: PASSED | 0.013 ms | 13810.64x speedup | abs_err=9.54e-07, rel_err=3.97e-02
  Workload be91d78c...: PASSED | 0.016 ms | 18360.93x speedup | abs_err=1.38e-06, rel_err=2.33e-01
  Workload 3803367a...: PASSED | 0.013 ms | 14076.11x speedup | abs_err=1.79e-07, rel_err=2.15e-02
  Workload eaf0a285...: PASSED | 0.015 ms | 15403.16x speedup | abs_err=3.81e-06, rel_err=3.19e-02
  Workload f4fd2171...: PASSED | 0.015 ms | 15798.98x speedup | abs_err=1.91e-06, rel_err=1.59e-02
  Workload b1931bc6...: PASSED | 0.019 ms | 33323.81x speedup | abs_err=9.54e-07, rel_err=2.23e-02
  Workload 8d0c5789...: PASSED | 0.015 ms | 16006.69x speedup | abs_err=9.54e-07, rel_err=2.60e-02
  Workload 9eef9bc7...: PASSED | 0.015 ms | 15088.01x speedup | abs_err=3.81e-06, rel_err=5.65e-02
  Workload 58571e49...: PASSED | 0.015 ms | 16032.53x speedup | abs_err=2.98e-07, rel_err=8.10e-02
  Workload ef2cf980...: PASSED | 0.019 ms | 33432.88x speedup | abs_err=3.81e-06, rel_err=2.03e-02
  Workload 42963acb...: PASSED | 0.015 ms | 15988.72x speedup | abs_err=3.81e-06, rel_err=9.18e-01
