gdn_prefill_qk4_v8_d128_k_last:
  Workload 77daf91d...: PASSED | 0.010 ms | 360.10x speedup | abs_err=1.64e-07, rel_err=1.43e-02
  Workload ba08a83e...: PASSED | 0.099 ms | 732.66x speedup | abs_err=7.63e-06, rel_err=9.26e-03
  Workload c7846f96...: PASSED | 0.098 ms | 928.26x speedup | abs_err=7.63e-06, rel_err=2.27e-02
  Workload d0ce7b5d...: PASSED | 2.371 ms | 3179.99x speedup | abs_err=1.22e-04, rel_err=1.94e-01
  Workload 5b8a0e4b...: PASSED | 5.473 ms | 1672.96x speedup | abs_err=1.53e-05, rel_err=7.75e-02
  Workload 5d3fc66a...: PASSED | 2.949 ms | 2475.96x speedup | abs_err=6.46e-05, rel_err=5.24e+00
  Workload 4b6143dd...: PASSED | 0.965 ms | 3823.34x speedup | abs_err=6.10e-05, rel_err=8.21e-02
  Workload 5835a2bc...: PASSED | 5.390 ms | 1368.35x speedup | abs_err=1.53e-05, rel_err=8.77e-02
  Workload cc310f94...: PASSED | 4.710 ms | 1904.22x speedup | abs_err=1.22e-04, rel_err=7.31e-01
  Workload d49df0b2...: PASSED | 2.266 ms | 3212.14x speedup | abs_err=1.22e-04, rel_err=1.19e+00
  Workload e9e1e445...: PASSED | 3.153 ms | 2320.88x speedup | abs_err=1.22e-04, rel_err=5.36e-02
  Workload b8c8dc3c...: PASSED | 5.415 ms | 1439.50x speedup | abs_err=6.10e-05, rel_err=1.04e+00
  Workload a9540651...: PASSED | 6.600 ms | 1392.27x speedup | abs_err=6.10e-05, rel_err=9.02e-01
  Workload 06f21bb1...: PASSED | 1.491 ms | 5031.13x speedup | abs_err=3.05e-05, rel_err=1.43e-01
  Workload c2931c92...: PASSED | 5.188 ms | 1422.51x speedup | abs_err=1.22e-04, rel_err=5.50e-01
  Workload 618df04a...: PASSED | 2.096 ms | 3575.13x speedup | abs_err=1.22e-04, rel_err=1.08e+00
  Workload 26244fb4...: PASSED | 4.693 ms | 1979.80x speedup | abs_err=1.53e-05, rel_err=3.96e-01
  Workload a2629e02...: PASSED | 2.574 ms | 2946.91x speedup | abs_err=6.10e-05, rel_err=2.66e+00
  Workload 9a5d694b...: PASSED | 3.897 ms | 1930.94x speedup | abs_err=6.10e-05, rel_err=1.77e-01
  Workload 410794d4...: PASSED | 4.575 ms | 1623.40x speedup | abs_err=1.53e-05, rel_err=1.79e-01
  Workload 7ba9d519...: PASSED | 4.034 ms | 1007.36x speedup | abs_err=1.22e-04, rel_err=1.71e+00
  Workload 043e74e4...: PASSED | 0.016 ms | 2238.80x speedup | abs_err=4.92e-07, rel_err=9.32e-03
  Workload ef9515b6...: PASSED | 0.015 ms | 1126.19x speedup | abs_err=1.19e-07, rel_err=7.04e-03
  Workload f622a11d...: PASSED | 0.015 ms | 1073.64x speedup | abs_err=7.15e-07, rel_err=3.39e-02
  Workload 1cf8e175...: PASSED | 0.028 ms | 1179.22x speedup | abs_err=9.54e-07, rel_err=1.82e-02
  Workload 9343fd82...: PASSED | 0.039 ms | 817.68x speedup | abs_err=1.91e-06, rel_err=1.33e-02
  Workload f4926229...: PASSED | 0.986 ms | 751.41x speedup | abs_err=1.22e-04, rel_err=3.04e-01
  Workload 109addb1...: PASSED | 1.932 ms | 1555.82x speedup | abs_err=6.10e-05, rel_err=1.93e-01
  Workload c5257f65...: PASSED | 0.991 ms | 869.36x speedup | abs_err=1.53e-05, rel_err=3.42e-02
  Workload f5619793...: PASSED | 0.693 ms | 846.72x speedup | abs_err=6.10e-05, rel_err=4.38e-01
  Workload fdf5f1f4...: PASSED | 0.023 ms | 2492.89x speedup | abs_err=4.77e-07, rel_err=2.70e-02
  Workload 87bff084...: PASSED | 0.072 ms | 2557.64x speedup | abs_err=1.91e-06, rel_err=7.51e-03
  Workload e92dafeb...: PASSED | 0.114 ms | 1595.68x speedup | abs_err=1.53e-05, rel_err=1.04e-01
  Workload 1d0cc342...: PASSED | 0.168 ms | 1358.62x speedup | abs_err=3.81e-06, rel_err=1.63e-01
  Workload 1b441950...: PASSED | 0.056 ms | 1470.30x speedup | abs_err=9.54e-07, rel_err=5.64e-02
  Workload 19c6ab20...: PASSED | 0.057 ms | 1319.74x speedup | abs_err=3.81e-06, rel_err=1.88e-02
  Workload 25d9c14d...: PASSED | 0.077 ms | 1770.09x speedup | abs_err=3.81e-06, rel_err=2.09e-02
  Workload 3215fe5f...: PASSED | 0.228 ms | 1086.28x speedup | abs_err=3.81e-06, rel_err=1.30e-02
  Workload 6f1ad833...: PASSED | 1.505 ms | 942.29x speedup | abs_err=1.22e-04, rel_err=2.10e-01
  Workload e44ba4d3...: PASSED | 0.812 ms | 1525.29x speedup | abs_err=1.22e-04, rel_err=8.63e-02
  Workload fc7a2bcb...: PASSED | 0.104 ms | 1626.43x speedup | abs_err=9.54e-07, rel_err=9.49e-02
  Workload 5d26ac5b...: PASSED | 0.073 ms | 1622.45x speedup | abs_err=3.81e-06, rel_err=3.73e-02
  Workload ed66c791...: PASSED | 0.089 ms | 1220.11x speedup | abs_err=1.91e-06, rel_err=1.19e-02
  Workload ba95d412...: PASSED | 0.118 ms | 1061.64x speedup | abs_err=4.77e-07, rel_err=7.86e-03
  Workload 078a41ea...: PASSED | 0.062 ms | 1269.12x speedup | abs_err=9.54e-07, rel_err=7.93e-02
  Workload d2b5a221...: PASSED | 0.026 ms | 3539.78x speedup | abs_err=1.91e-06, rel_err=7.20e-02
  Workload aaa378be...: PASSED | 1.091 ms | 872.55x speedup | abs_err=3.05e-05, rel_err=1.03e-01
  Workload c2bb4f66...: PASSED | 1.092 ms | 948.85x speedup | abs_err=6.10e-05, rel_err=1.31e+00
